name_auction	link	serial_number	sold_price	sold_date	location
2003 ASHOK LEYLAND CARGO 712	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4648313&LP=TRK	VIN #WMR125079	1.110	2-10-2013 3:27:	Verenigde Arabische Emirate
2002 ASHOK LEYLAND CARGO 712	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4469579&LP=TRK	VIN #NU41H4-000226	1.534	10-7-2013 8:46:	Verenigde Arabische Emirate
2001 ASHOK LEYLAND CARGO 712	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4621495&LP=TRK	VIN #YLR121680	2.633	20-9-2013 3:19:	Verenigde Arabische Emirate
2001 ASHOK LEYLAND CARGO 712	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4621483&LP=TRK	VIN #YLR121583	2.069	20-9-2013 3:02:	Verenigde Arabische Emirate
1989 ASTRA BM201	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4857119&LP=TRK	VIN #ZCNBM201FBL007294	4.500	30-12-2013 7:57:	Italie
1984 ASTRA BM201	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5304817&LP=TRK	VIN #7126	3.000	10-7-2014 7:54:	Italie
1988 ASTRA BM304	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4028507&LP=TRK	VIN #ZCNBM304FAL301612	4.000	11-12-2012 8:35:	Italie
1987 ASTRA BM304	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5090545&LP=TRK	VIN #ZCNBM304FAG300891	2.000	9-4-2014 1:22:	Italie
1988 ASTRA BM305F	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4994165&LP=TRK	VIN #ZCNBM305FAL311829	4.000	28-2-2014 7:06:	Nederland
1992 ASTRA BM6426	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5090533&LP=TRK	VIN #ZCNBM6426AE402914	5.000	9-4-2014 1:10:	Italie
1990 ASTRA BM6426	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5090535&LP=TRK	VIN #ZCNBM6426AD401667	5.000	9-4-2014 1:10:	Italie
1989 ASTRA BM6426	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4028497&LP=TRK	VIN #A4400029A	5.500	11-12-2012 8:35:	Italie
1990 ASTRA BM6430	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4645105&LP=TRK	VIN #ZCNBM6430AD401698	11.000	4-10-2013 2:34:	Italie
2003 ASTRA HD7	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4243047&LP=TRK	VIN #ZCNH744323P480073	11.091	25-3-2013 4:46:	Verenigde Arabische Emirate
2004 ASTRA HD7 64.38	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4346303&LP=TRK	VIN #ZCNH76438AP423371	3.750	9-5-2013 10:51:	Italie
1997 ASTRA HD7 64.38	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5018623&LP=TRK	VIN #ZCNH76438AD420713	18.500	14-3-2014 8:24:	Italie
2007 ASTRA HD7 64.40	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4034351&LP=TRK	VIN #ZCNH864487P489787	27.500	11-12-2012 9:59:	Italie
2001 ASTRA HD7 84.42	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5304661&LP=TRK	VIN #ZCNH78442ZL450901	18.000	10-7-2014 7:08:	Italie
2001 ASTRA HD7 84.42	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5304659&LP=TRK	VIN #ZCNH78442ZL450854	16.500	10-7-2014 7:08:	Italie
2001 ASTRA HD7 84.42	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4482205&LP=TRK	VIN #ZCNH78442ZL451053	11.500	11-7-2013 9:48:	Italie
2000 ASTRA HD7 84.42	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4482207&LP=TRK	VIN #ZCNH78442ZG427842	11.500	11-7-2013 9:48:	Italie
2003 ASTRA HD7-C 84.40	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5304649&LP=TRK	VIN #ZCNH784403P511059	37.000	10-7-2014 7:08:	Italie
2002 ASTRA HD7-C 84.45	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5304657&LP=TRK	VIN #ZCNH784452P510596	18.000	10-7-2014 7:08:	Italie
2003 ASTRA HD7-C 84.50	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5311955&LP=TRK	VIN #ZCNH784503P511108	19.000	10-7-2014 7:08:	Italie
2007 ASTRA HD8 64.41	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4034343&LP=TRK	VIN #ZCNH864487P489786	27.500	11-12-2012 9:57:	Italie
2007 ASTRA HD8 64.45	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4482225&LP=TRK	VIN #ZCNH866P489342	59.000	11-7-2013 9:48:	Italie
2011 ASTRA HD8 84.44	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4028541&LP=TRK	VIN #ZCNH88444BP516703	45.000	11-12-2012 8:39:	Italie
2009 ASTRA HD8 84.44	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4641225&LP=TRK	VIN #ZCNH884448P515374	50.000	4-10-2013 2:16:	Italie
2009 ASTRA HD8 84.44	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4641237&LP=TRK	VIN #ZCNH884448P515402	50.000	4-10-2013 2:16:	Italie
2009 ASTRA HD8 84.44	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4641263&LP=TRK	VIN #ZCNH884448P515135	50.000	4-10-2013 2:18:	Italie
2009 ASTRA HD8 84.44	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4641163&LP=TRK	VIN #ZCNH884448P515526	49.000	4-10-2013 2:15:	Italie
2009 ASTRA HD8 84.44	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4641175&LP=TRK	VIN #ZCNH884448P515394	49.000	4-10-2013 2:15:	Italie
2009 ASTRA HD8 84.44	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4641187&LP=TRK	VIN #ZCNH884448P515385	49.000	4-10-2013 2:15:	Italie
2009 ASTRA HD8 84.44	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4641189&LP=TRK	VIN #ZCNH884448P515392	49.000	4-10-2013 2:15:	Italie
2009 ASTRA HD8 84.44	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4641203&LP=TRK	VIN #ZCNH884448P515367	49.000	4-10-2013 2:16:	Italie
2006 ASTRA HD8 84.44	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4482199&LP=TRK	VIN #ZCNH884455P513133	21.500	11-7-2013 9:48:	Italie
2006 ASTRA HD8 84.45	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5304651&LP=TRK	VIN #ZCNH884456P513469	35.000	10-7-2014 7:08:	Italie
2011 ASTRA HD8 84.48	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4472735&LP=TRK	Stk #ZCNH88848BP516603	147.500	9-7-2013 4:30:	Duitsland
2011 ASTRA HD8 84.48	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4204404&LP=TRK	VIN #ZCNH88848BP516603	124.000	7-3-2013 8:01:	Italie
2008 ASTRA HD8 84.48	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5304647&LP=TRK	VIN #ZCNH884487P514539	77.500	10-7-2014 7:08:	Italie
2007 ASTRA HD8 84.48	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4028683&LP=TRK	VIN #ZCNH884487P514008	42.500	11-12-2012 9:07:	Italie
2007 ASTRA HD8 84.48	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4028635&LP=TRK	VIN #ZCNH884487P513999	42.000	11-12-2012 9:03:	Italie
1995 ASTRA HD64.38	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5507649&LP=TRK	VIN #ZCNH66438BC420314	5.000	13-10-2014 13:37:	Italie
1993 BEDFORD TM	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4947991&LP=TRK	VIN #WNV3NPLW700502	4.080	7-2-2014 4:57:	Verenigde Arabische Emirate
2007 BUCHER CITYCAT 2020	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4610291&LP=TRK		136.098	16-9-2013 4:12:	Duitsland
2007 BUCHER CITYCAT 2020	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4610289&LP=TRK	Stk #2007030	1.250	16-9-2013 4:11:	Duitsland
2005 BUCHER CITYCAT 2020	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5150181&LP=TRK	VIN #TEB50CC2058135323	9.000	6-5-2014 7:14:	Finland
2003 CITROEN JUMPER	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5225449&LP=TRK	VIN #VF7ZAAMFA17185907	3.250	5-6-2014 9:33:	Spanje
2003 DAEWOO D75	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4028093&LP=TRK	VIN #TNAA2L0003A002787	1.851	14-12-2012 3:00:	Groot-Brittannie
1997 DAF 17.16	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4407963&LP=TRK	Stk #XLRAE45CE0L148896	6.000	10-6-2013 10:01:	Spanje
2004 DAF 45.130TI	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4621609&LP=TRK	VIN #XLRAE45CF0L253436	9.500	20-9-2013 7:56:	Spanje
1994 DAF 45.130TI	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4482871&LP=TRK	VIN #XLRAE45CE0L127255	1.250	11-7-2013 9:56:	Italie
2002 DAF 45.140	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4008787&LP=TRK	VIN #XLRAE45CF0L238304	8.000	4-12-2012 3:25:	Spanje
2002 DAF 45.150	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5265527&LP=TRK	VIN #XLRAE45BF0L242515	7.204	19-6-2014 5:32:	Groot-Brittannie
2002 DAF 45.150	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5399167&LP=TRK		4.408	15-8-2014 3:54:	Groot-Brittannie
2001 DAF 45.150	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5499182&LP=TRK	VIN #XLRAE45BF0L230282	3.500	26-9-2014 4:33:	Nederland
2001 DAF 45.150	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5084589&LP=TRK		3.028	11-4-2014 3:17:	Groot-Brittannie
2001 DAF 45.150	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4930325&LP=TRK		1.821	7-2-2014 3:43:	Groot-Brittannie
2000 DAF 45.150	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4991075&LP=TRK	VIN #XLRAE45CE0L217256	5.000	28-2-2014 3:47:	Nederland
2000 DAF 45.150	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4393709&LP=TRK	VIN #XLRAE45LE0LZ19045	1.754	31-5-2013 9:28:	Groot-Brittannie
2000 DAF 45.150	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4930519&LP=TRK		1.213	7-2-2014 3:43:	Groot-Brittannie
1999 DAF 45.150	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4713435&LP=TRK		2.064	29-10-2013 6:34:	Groot-Brittannie
1999 DAF 45.150	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5166609&LP=TRK	VIN #XLRAE45CE0L164417	1.750	13-5-2014 6:24:	Italie
1996 DAF 45.150	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4028805&LP=TRK	VIN #XLRAE45CE0L141121	3.000	11-12-2012 9:29:	Italie
1997 DAF 45.160	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5496608&LP=TRK	VIN #XLRAE45CE0L150935	3.000	26-9-2014 4:31:	Nederland
1993 DAF 45.160	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4662638&LP=TRK	VIN #XLRAE45CEOL112360	1.500	8-10-2013 3:44:	Frankrijk
2003 DAF 45.160TI	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5465111&LP=TRK	VIN #XLRAE45CFOU14796	3.020	15-9-2014 3:03:	Groot-Brittannie
2000 DAF 45.160TI	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4297431&LP=TRK	Stk #W493RYD	1.172	19-4-2013 9:03:	Groot-Brittannie
1995 DAF 45.160TI	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5465443&LP=TRK	Stk #XLRAE45CE0L127066	2.750	18-9-2014 9:15:	Spanje
1994 DAF 45.160TI	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4424689&LP=TRK	Stk #XLRAE45CE0L118186	5.250	14-6-2013 2:33:	Nederland
2003 DAF 45.170	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4277333&LP=TRK		4.101	16-4-2013 7:50:	Groot-Brittannie
